new_order,payment,order_status,delivery,stock_level,total_time
4.705389,0.684921,0.045199,313.924572,0.123822,319.48390300000005
14.780841,0.563708,0.055818,0.011563,0.138734,15.550664000000001
21.409719,0.630659,0.053702,53.354515,0.116482,75.565077
13.32349,0.573815,0.059705,0.012319,0.179582,14.148910999999998
15.178328,0.429135,0.047905,0.012697,0.158691,15.826756
19.769221,0.658795,0.180106,0.012749,0.128294,20.749165
4.530812,0.835392,0.081284,0.01247,0.15584,5.615798000000001
14.844914,0.667011,0.087384,0.012783,0.1794,15.791492
18.041331,0.69084,0.060763,94.192757,0.184796,113.17048700000001
16.192188,0.619082,0.045045,45.026786,0.169425,62.052526
17.256764,0.562491,0.165763,76.892325,0.261338,95.13868099999999
15.174902,0.601096,0.10377,51.264533,0.175373,67.31967399999999
14.827827,0.989863,0.069692,0.012545,0.276803,16.17673
10.306386,0.417055,0.068099,63.270998,0.180651,74.243189
12.988666,0.73581,0.066016,0.011659,0.131118,13.933269000000001
6.587337,0.757994,0.071424,0.012095,0.153577,7.582427000000001
14.891662,0.677674,0.049543,30.084684,0.133126,45.836689
15.163817,2.521456,0.06969,29.085169,0.197416,47.037547999999994
20.601126,1.418723,0.112791,66.121944,0.18748,88.44206399999999
9.895767,1.063634,0.051078,0.011756,0.494026,11.516261
17.168649,0.507328,0.116406,36.762795,0.166792,54.72197
10.853245,0.624461,0.081614,0.012493,0.132879,11.704692
15.612474,0.577972,0.055616,20.108698,0.143402,36.498162
5.725455,0.563474,0.049595,65.371081,0.181212,71.89081700000001
8.412027,0.917155,0.097787,0.012766,0.195164,9.634898999999999
13.92801,0.702305,0.049272,90.48521,0.127978,105.29277499999999
15.65661,0.416364,0.068301,0.012532,0.11527,16.269077000000003
11.143643,0.794567,0.090668,0.013457,0.185946,12.228281000000003
12.715151,1.610376,0.112913,0.012815,0.143822,14.595077000000002
12.847293,0.631237,0.096308,0.01567,0.128183,13.718691000000002
11.337327,0.658618,0.116899,0.01464,0.104096,12.231580000000001
13.474168,0.479634,0.072038,47.277122,0.16584,61.468802000000004
9.400052,0.860007,0.131632,26.235373,0.11837,36.745433999999996
4.236632,4.616374,0.09464,33.703736,0.141629,42.793011
8.615886,0.753339,0.09387,0.014523,0.175776,9.653394000000002
13.503641,0.375669,0.053051,0.013023,0.152367,14.097751
22.12613,0.87239,0.068776,19.714361,0.148911,42.930567999999994
13.829513,0.487638,0.0511,43.594259,0.123108,58.085618000000004
20.896343,0.966894,0.068065,0.012477,0.165305,22.109084000000003
17.186261,0.475901,0.063079,20.355717,0.151486,38.232443999999994
16.25705,0.847107,0.070081,0.012717,0.11996,17.306914999999996
19.295472,1.126024,0.092661,0.013388,0.110698,20.638243
17.857094,0.679099,0.097424,0.012458,0.118874,18.764949
14.886369,0.632415,0.189184,0.013644,0.137704,15.859315999999998
24.532327,0.710747,0.077604,0.012299,0.131586,25.464563
21.501646,0.485859,0.055979,0.013787,0.162398,22.219669000000003
16.467393,0.335525,0.050072,0.012138,0.102578,16.967706000000003
26.376373,0.368731,0.041169,62.953429,0.144246,89.88394799999999
17.947194,0.828162,0.129447,0.011084,0.183156,19.099042999999998
11.100617,0.912943,0.071722,154.610903,0.209026,166.905211
10.167126,0.832859,0.071021,83.540153,0.134193,94.745352
18.73751,0.585088,0.129401,46.063692,0.084579,65.60027000000001
7.977819,0.443498,0.085348,0.013555,0.240072,8.760292
11.757924,0.767191,0.041418,24.262155,0.143202,36.97189
17.801369,0.486732,0.04337,111.821929,0.116667,130.270067
10.938851,0.593506,0.050448,55.900026,0.12032,67.603151
19.299551,0.697668,0.101592,0.013568,0.100274,20.212653
21.110837,0.88799,0.043018,0.011978,0.225033,22.278855999999998
14.789722,0.483088,0.073602,0.012155,0.171899,15.530465999999999
15.940153,0.379728,0.093773,0.013988,0.143477,16.571119
12.085132,0.727335,0.064819,58.052595,0.188289,71.11816999999999
10.257329,0.625069,0.068276,58.765148,0.266558,69.98238
12.235972,0.510499,0.058205,0.014563,0.120008,12.939247
18.733087,1.171033,0.042073,23.361941,0.169917,43.478051
22.08133,0.428667,0.156464,38.184315,0.170829,61.021604999999994
17.051571,1.013846,0.145104,44.30193,0.307893,62.820344
14.525217,1.028774,0.067755,0.017578,0.121622,15.760946
15.182704,0.367404,0.046822,0.012425,0.105346,15.714701000000002
19.344296,0.380658,0.086886,56.073721,0.100331,75.98589199999999
15.866768,0.497183,0.058889,0.011836,0.135572,16.570248
12.511228,0.354511,0.050899,0.012644,0.087491,13.016772999999999
7.231282,0.423536,0.041024,0.011913,0.168335,7.8760900000000005
23.290095,0.636295,0.093762,0.012362,0.223217,24.255731000000004
14.394634,0.821332,0.065241,26.578854,0.107816,41.967877
6.727462,0.389346,0.088662,79.645913,0.195795,87.047178
14.971012,0.873705,0.118063,0.013341,0.184346,16.160467
14.169997,0.599807,0.099011,0.014388,0.169323,15.052526000000002
12.983446,0.467013,0.076591,21.930011,0.052645,35.509706
13.94377,0.473256,0.053017,0.012743,0.212813,14.695599000000001
14.256365,0.394979,0.043135,0.013139,0.124712,14.83233
17.834687,1.055174,0.281382,0.012196,0.092598,19.276037
16.114231,0.518393,0.08364,0.01461,0.197128,16.928002
17.36108,0.418407,0.067409,31.498384,0.146573,49.491853
8.337325,0.988008,0.044366,62.368524,0.150939,71.889162
12.243705,0.775789,0.102521,0.01226,0.121642,13.255916999999998
18.145701,0.744926,0.1199,98.390311,0.133227,117.534065
6.127089,1.011975,0.070137,0.013766,0.297162,7.520129
19.241654,0.547415,0.082844,0.016994,0.057742,19.946649000000004
12.808904,0.480047,0.215235,31.931295,0.129443,45.564924
5.556935,0.862196,0.102983,0.013322,0.230479,6.765915
23.563987,6.408555,0.153059,0.013456,0.108507,30.247564
14.889754,0.747519,0.085889,0.014054,0.155322,15.892538
23.605373,0.544516,0.075242,0.117941,0.127173,24.470245
6.482913,0.609658,0.07144,0.011727,0.190373,7.366110999999999
17.376458,0.343218,0.050097,38.531784,0.179463,56.48102
23.002506,0.629001,0.06712,67.267095,0.099014,91.064736
21.239782,0.744894,0.07025,0.012864,0.33544,22.40323
16.214981,0.453295,0.053255,0.014575,0.30141,17.037516000000004
15.724549,1.150796,0.074359,0.014464,0.072035,17.036203
16.614174,0.899726,0.082834,0.01663,0.21927,17.832634
